score,budget_x,country
73.0,75000000.0,AU
78.0,460000000.0,AU
76.0,100000000.0,AU
70.0,12300000.0,AU
61.0,77000000.0,US
66.0,35000000.0,AU
80.0,100000000.0,AU
83.0,90000000.0,AU
59.0,71000000.0,US
58.0,119200000.0,US
58.0,100000.0,AU
55.0,12000000.0,MX
65.0,43800000.0,AU
73.0,250000000.0,AU
72.0,92000000.0,AU
62.0,77600000.0,GB
64.0,20000000.0,AU
65.0,54060000.0,US
57.0,110400000.0,CL
65.0,123500000.0,NO
73.0,82600000.0,AU
69.0,25000000.0,GB
74.0,25000000.0,AU
64.0,145760000.0,US
69.0,125000000.0,AU
65.0,54060000.0,US
53.0,10000.0,US
71.0,200000000.0,AU
58.0,68500000.0,US
74.0,12000000.0,AU
63.0,200000000.0,AU
62.0,73800000.0,CL
62.0,113000000.0,US
55.0,2480000.0,ES
60.0,146740000.0,US
73.0,40000000.0,AU
63.0,81800000.0,US
54.0,116000000.0,AU
63.0,16050000.0,AU
74.0,55000000.0,AU
63.0,113400000.0,US
73.0,3000000.0,AU
52.0,1000000.0,US
60.0,141340000.0,US
81.0,3000000.0,AU
71.0,27240305.0,US
62.0,115000000.0,US
68.0,25000000.0,AU
52.0,97200000.0,US
83.0,15800000.0,AU
58.0,135000000.0,MX
55.0,122400000.0,AR
63.0,66240000.0,KR
79.0,50000000.0,AU
68.0,51880004.0,AU
76.0,150000000.0,AU
68.0,121400000.0,AU
76.0,90000000.0,AU
78.0,10000000.0,AU
65.0,95200000.0,AU
73.0,127000000.0,US
60.0,89600000.0,HK
83.0,170000000.0,AU
65.0,147400000.0,US
76.0,1000000.0,UA
74.0,1261569.0,AU
57.0,21680000.0,IT
73.0,35000000.0,AU
76.0,237000000.0,AU
67.0,72000000.0,US
78.0,172000000.0,GB
63.0,45000000.0,AU
66.0,250000000.0,AU
47.0,147200000.0,US
69.0,250000.0,AU
74.0,30000000.0,AU
80.0,200000000.0,AU
66.0,52000000.0,US
65.0,115000000.0,RU
82.0,35000000.0,AU
79.0,113880000.0,MX
79.0,43602530.2,AU
63.0,112000000.0,US
78.0,65000000.0,AU
61.0,117480000.0,US
72.0,23000000.0,US
73.0,134400000.0,US
43.0,42000000.0,AU
64.0,104580000.0,AU
69.0,165000000.0,AU
68.0,51000000.0,US
70.0,85000000.0,AU
65.0,100000000.0,CO
78.0,20000000.0,AU
76.0,20000000.0,AU
67.0,24000000.0,AU
67.0,15000000.0,AU
74.0,90000000.0,AU
78.0,50000000.0,AU
74.0,132500000.0,AU
67.0,79800000.0,DE
58.0,134000000.0,RU
74.0,200000000.0,AU
53.0,136400000.0,AU
83.0,300000000.0,AU
68.0,17000000.0,AU
47.0,100100000.0,MX
56.0,134200000.0,US
65.0,135000000.0,AU
78.0,13500000.0,AU
78.0,10000000.0,AU
80.0,129000000.0,JP
63.0,110000000.0,ES
75.0,80000000.0,AU
70.0,50000000.0,AU
74.0,37000000.0,AU
68.0,36000000.0,AU
0.0,340000000.0,US
68.0,113000000.0,AU
77.0,40000000.0,AU
57.0,5000000.0,AU
75.0,175000000.0,AU
76.0,150000000.0,AU
59.0,86800000.0,US
72.0,45000000.0,AU
75.0,50000000.0,AU
62.0,15160689.0,AU
82.0,40000000.0,AU
55.0,6000000.0,ES
57.0,103600000.0,US
82.0,21835777.0,AU
77.0,200000000.0,AU
83.0,90000000.0,US
60.0,151600000.0,JP
71.0,180000000.0,AU
72.0,1500000.0,AU
63.0,113000000.0,US
65.0,155140000.0,AU
60.0,73800000.0,ES
79.0,28519270.6,AU
70.0,142600000.0,AU
79.0,147000000.0,AU
75.0,85900000.0,AU
69.0,124400000.0,US
67.0,131000000.0,AU
80.0,85000000.0,AU
59.0,106000000.0,GB
77.0,50000000.0,AU
64.0,77400000.0,US
62.0,133000000.0,FR
66.0,85645.0,US
74.0,6200000.0,FI
77.0,105800000.0,MX
71.0,116000000.0,AU
67.0,50000000.0,AU
60.0,143200000.0,US
79.0,25000000.0,AU
71.0,40000000.0,AU
73.0,80000000.0,ES
59.0,118200000.0,GB
76.0,27164600.0,AU
81.0,149000000.0,MX
68.0,1704500.0,MX
68.0,98140000.0,ES
60.0,126800000.0,US
60.0,89600000.0,AU
63.0,24000000.0,AU
43.0,87600000.0,AR
75.0,110000000.0,AU
66.0,74000000.0,AU
66.0,9600000.0,AU
67.0,50000000.0,US
61.0,58100000.0,IS
84.0,2937023.8,AU
77.0,100000000.0,AU
69.0,119100000.0,KR
65.0,54060000.0,US
69.0,110000000.0,AU
79.0,125000000.0,AU
66.0,101600000.0,AU
70.0,120000000.0,AU
74.0,90000000.0,AU
64.0,150000000.0,AU
67.0,75500000.0,FR
64.0,50610000.0,ES
78.0,150400000.0,AU
68.0,200000000.0,AU
69.0,175000000.0,AU
66.0,2500000.0,US
71.0,98840000.0,ID
84.0,165000000.0,AU
59.0,139000000.0,AU
83.0,119.0,KR
61.0,79000000.0,US
67.0,117000000.0,AU
78.0,26523270.6,AU
78.0,60000000.0,AU
69.0,111400000.0,AU
78.0,150000000.0,AU
66.0,2400000.0,ES
68.0,51489867.0,AU
63.0,133200000.0,JP
78.0,116600000.0,MX
66.0,118000000.0,ES
83.0,179800000.0,US
77.0,250000000.0,AU
61.0,138000000.0,JP
49.0,147200000.0,US
66.0,88200000.0,US
63.0,97760000.0,US
72.0,39307171.0,BR
77.0,225000000.0,AU
77.0,60000000.0,AU
65.0,138000000.0,IT
58.0,140000000.0,AU
66.0,142000000.0,AU
0.0,205000000.0,US
72.0,200000000.0,AU
80.0,100000000.0,AU
78.0,146000000.0,US
76.0,119200000.0,AU
73.0,26000000.0,AU
73.0,13000000.0,AU
80.0,130000000.0,AU
46.0,4600000.0,AU
78.0,69000000.0,AU
72.0,28648000.0,AU
78.0,17000000.0,AU
69.0,57440000.0,US
0.0,200000000.0,US
83.0,400000000.0,AU
0.0,264940000.0,US
71.0,74400000.0,US
77.0,150000000.0,AU
71.0,70000000.0,AU
70.0,127600000.0,US
74.0,132000000.0,AU
69.0,24220050.0,AU
62.0,10000000.0,AU
79.0,95000000.0,AU
79.0,15000000.0,AU
65.0,111600000.0,US
74.0,40000000.0,AU
62.0,75000000.0,AU
61.0,200000000.0,AU
76.0,260000000.0,AU
57.0,170000000.0,AU
59.0,40000000.0,AU
81.0,125000000.0,AU
82.0,25000000.0,AU
78.0,115000000.0,AU
67.0,143000000.0,AU
68.0,100000000.0,US
77.0,155000000.0,AU
58.0,20000000.0,AU
76.0,150000000.0,AU
82.0,70000000.0,AU
71.0,200000000.0,AU
71.0,102400000.0,BE
62.0,178400000.0,US
76.0,149400000.0,DK
82.0,8224023.8,AU
72.0,300000000.0,AU
57.0,87200000.0,TR
72.0,137000000.0,AU
60.0,6320000.0,US
72.0,70000000.0,AU
68.0,30000000.0,AU
67.0,55000000.0,AU
30.0,15541000.0,ES
69.0,200000000.0,AU
84.0,90000000.0,AU
78.0,250000000.0,AU
68.0,116200000.0,AU
77.0,18052672.0,KR
58.0,107000000.0,US
70.0,63400000.0,AU
100.0,201000000.0,KR
64.0,20000.0,GB
75.0,20000000.0,AU
70.0,200000000.0,AU
57.0,109000000.0,JP
74.0,15000000.0,AU
64.0,1000000.0,AU
75.0,40000000.0,AU
48.0,3500000.0,HK
54.0,6400000.0,US
71.0,55000000.0,AU
71.0,20000000.0,AU
78.0,140000000.0,AU
72.0,64000000.0,AU
69.0,149000000.0,GB
81.0,200000000.0,AU
76.0,185000000.0,AU
76.0,119000000.0,JP
77.0,70000000.0,AU
59.0,7270000.0,US
78.0,903852.0,JP
65.0,379000000.0,AU
61.0,97200000.0,US
75.0,96200000.0,AU
82.0,175000000.0,AU
75.0,116200000.0,AU
80.0,30000000.0,AU
75.0,82000000.0,AU
0.0,167540000.0,JP
73.0,80000000.0,US
82.0,143260000.0,US
68.0,120400000.0,JP
79.0,200000000.0,AU
68.0,125000000.0,AU
67.0,24570496.6,AU
52.0,105000000.0,US
64.0,35442225.8,GB
54.0,174000000.0,GB
65.0,115200000.0,AU
65.0,122800000.0,FR
66.0,110600000.0,US
71.0,105.0,AU
69.0,111600000.0,TH
71.0,131400000.0,US
69.0,22000000.0,US
80.0,20011197.0,AU
72.0,107200000.0,JP
61.0,25000000.0,AU
76.0,13187504.6,JP
70.0,72000000.0,AU
83.0,260000000.0,AU
83.0,79300000.0,AU
73.0,365000000.0,AU
79.0,20000000.0,AU
79.0,200000000.0,AU
73.0,200000000.0,AU
72.0,30000000.0,AU
73.0,65000000.0,AU
61.0,139600000.0,JP
73.0,40000000.0,AU
63.0,165000000.0,AU
75.0,75000000.0,AU
74.0,85000000.0,AU
86.0,189000000.0,JP
68.0,5000000.0,JP
73.0,97200000.0,AU
68.0,143000000.0,US
72.0,105000000.0,AU
59.0,162100000.0,AU
68.0,52900000.0,DE
60.0,146740000.0,PL
60.0,105000000.0,BR
77.0,150000000.0,AU
73.0,92600000.0,US
63.0,121600000.0,AU
76.0,110000000.0,AU
74.0,88200000.0,MX
71.0,18000000.0,US
68.0,170000000.0,AU
75.0,20000000.0,AU
69.0,200000000.0,AU
43.0,77300000.0,AU
72.0,34000000.0,AU
62.0,178000000.0,AU
68.0,100000000.0,AU
73.0,250000000.0,AU
82.0,134400000.0,FR
63.0,7855689.0,AU
78.0,101000000.0,US
68.0,150000000.0,AU
63.0,87000000.0,GT
71.0,131400000.0,US
68.0,1000000.0,AU
75.0,65000000.0,AU
76.0,24413000.0,JP
76.0,180000000.0,AU
0.0,175000000.0,US
56.0,130000000.0,AU
78.0,38211149.2,JP
68.0,67654097.6,JP
76.0,93000000.0,AU
71.0,130000000.0,AU
74.0,24000000.0,AU
74.0,15000000.0,AU
